"accepted_taxa","original_taxa_Midolo2023","Disturbance.Frequency_Midolo2023","Disturbance.Frequency.herblayer_Midolo2023","Disturbance.Severity_Midolo2023","Disturbance.Severity.herblayer_Midolo2023","Grazing.Pressure_Midolo2023","Mowing.Frequency_Midolo2023","Soil.Disturbance_Midolo2023","original_taxa_Tichy2022","Ellenberg.Light_Tichy2022","Ellenberg.Moisture_Tichy2022","Ellenberg.Nutrients_Tichy2022","Ellenberg.Reaction_Tichy2022","Ellenberg.Salinity_Tichy2022","Ellenberg.Temperature_Tichy2022","original_taxa_Lososova2023","Dispersal.distance_class_Lososova2023","Dispersal.mode_Lososova2023","Plant.height_m_Lososova2023","Seed.mass_mg_Lososova2023","original_taxa_Baseflor","Chorology_Baseflor","Flower.color_Baseflor","Dispersal.mode_Baseflor","Flowering_Baseflor","Inflorescence_Baseflor","Pollination_Baseflor","original_taxa_YvozValPol","Flower.color_YvozValPol","Flower.class_YvozValPol","Flower.type_YvozValPol","PV.Bees_YvozValPol","PV.Bumblebees_YvozValPol","PV.butterflies_YvozValPol","PV.Hoverflies_YvozValPol","Nectar.quantity_YvozValPol","Pollen.quantity_YvozValPol","Floral.symmetry_YvozValPol","Flower.UV.reflectance.centre_YvozValPol","Flower.UV.reflectanceperiphery_YvozValPol","original_taxa_SPVignes","Flowering.onset_SPVignes","Plant.height_cm_SPVignes","Strategy_Grime_SPVignes","Lifeform_Raunkier_SPVignes","original_taxa_ATVinedivers","Growth.form_ATVinedivers","Strategy.Grime_ATVinedivers","Plant.lifespan_ATVinedivers","original_taxa_BIEN","Flower.color_BIEN","Leaf.area_mm2_BIEN","SLA_m2.kg-1_BIEN","Leaf.carbon.to.nitrogen.content_mg.g-1_BIEN","Leaf.dry.mass.content_mg.g-1_BIEN","Leaf.nitrogen.content_mg.g-1_BIEN","Flowering_begin.month_BIEN","Seed.mass_mg_BIEN","Plant.height_m_BIEN","original_taxa_Hodgson2023","Lifecycle_Hodgson2023","SLA.mm2.mg-1_Hodgson2023","Vegetative.propagation_Hodgson2023","original_taxa_GIFT","Dispersal.mode_1_GIFT","Dispersal.mode_2_GIFT","Flower.color_GIFT","Flower.length_max_cm_GIFT","Flower.length_min_cm_GIFT","Flower.width_max_cm_GIFT","Flower.width_min_cm_GIFT","Inflorescence_GIFT","Leaf.area_cm2_GIFT","Lifecycle_GIFT","Photosynthetic.pathway_GIFT","Plant.height_max_m_GIFT","Plant.height_mean_m_GIFT","Pollination.syndrome_1_GIFT","Pollination.syndrome_2_GIFT","Pollination.syndrome_3_GIFT","Seed.mass_g_GIFT","SLA_cm2.g-1_GIFT","original_taxa_FlorealData","Flower.color_FlorealData","Lifeform_FlorealData","Plant.height_cm_FlorealData","original_taxa_Ecoflora","Plant.height_m_Ecoflora","Seed.mass_mg_Ecoflora","original_taxa_Biolflor","Flower.UV.reflectance_Biolflor","Seed.mass_mg_Biolflor","original_taxa_CLOPLA","Clonal.index_CLOPLA","offspring_CLOPLA","offspring.wsmall_CLOPLA","lateral.spread_cm_CLOPLA","original_taxa_Ladouceur2019","Clonal.index_Ladouceur2019","Clonal.presence_Ladouceur2019","Flowering.duration_month_Ladouceur2019","Flowering.onset_month_Ladouceur2019","Plant.height_cm_Ladouceur2019","Radial.growth_mm.year-1_Ladouceur2019","Seed.dormancy_Ladouceur2019","Seed.mass_mg_Ladouceur2019","Seeding.onset_month_Ladouceur2019","Seeding.season_Ladouceur2019","SLA_cm2.g-1_Ladouceur2019"
"Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon","Abutilon theophrasti",1.52422,1.96295,0.82031,0.80625,0.16875,0.84443,0.76562,"Abutilon theophrasti",7.5,5.2,NA,6.6,0.4,NA,"Abutilon theophrasti","2","Local non-specific dispersal",1.20125,9.807,"Abutilon theophrasti","Eurasiatique","Jaune","Épizoochore","6-7","Racème de cymes bipares","Entomogame","Abutilon theophrasti","Yellow","Pollen flowers","Pollen flower",4.85,4.48,3.94,5.47,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abutilon theophrasti",NA,NA,25,10.898,NA,39.3,"8",9.0119,1.2,NA,NA,NA,NA,"Abutilon theophrasti","Unspecialized","Anthropochorous",NA,NA,NA,NA,NA,NA,NA,"Annual","C3",2,1.05,"Biotic","Insect","Insect",0.00953144433333333,NA,NA,NA,NA,NA,"Abutilon theophrasti",1.5,0.009,"Abutilon theophrasti",NA,10.6053333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abutilon theophrasti","Abutilon theophrasti",1.52422,1.96295,0.82031,0.80625,0.16875,0.84443,0.76562,"Abutilon theophrasti",7.5,5.2,NA,6.6,0.4,NA,"Abutilon theophrasti","2","Local non-specific dispersal",1.20125,9.807,"Abutilon theophrasti","Eurasiatique","Jaune","Épizoochore","6-7","Racème de cymes bipares","Entomogame","Abutilon theophrasti","Yellow","Pollen flowers","Pollen flower",4.85,4.48,3.94,5.47,"None","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abutilon theophrasti",NA,NA,25,10.898,NA,39.3,"8",9.0119,1.2,NA,NA,NA,NA,"Abutilon theophrasti","Unspecialized","Anthropochorous",NA,NA,NA,NA,NA,NA,NA,"Annual","C3",2,1.05,"Biotic","Insect","Insect",0.00953144433333333,NA,NA,NA,NA,NA,"Abutilon theophrasti",1.5,0.009,"Abutilon theophrasti",NA,10.6053333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","3","Myrmecochory",0.21,0.63,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","Red","Flowers with totally hidden nectar","Not applicable",3.437792791,3.163311256,5.111821164,3.547593905,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","Red",NA,NA,NA,NA,NA,NA,0.614,0.6,NA,NA,NA,NA,"Acalypha virginica","Zoochorous","Zoochorous",NA,NA,NA,NA,NA,NA,NA,"Annual",NA,NA,0.91,NA,NA,NA,0.000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha ostryifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acalypha virginica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","3","Myrmecochory",0.21,0.63,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","Red","Flowers with totally hidden nectar","Not applicable",3.437792791,3.163311256,5.111821164,3.547593905,"Present","Plenty","Actinomorphe",3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acalypha virginica","Red",NA,NA,NA,NA,NA,NA,0.614,0.6,NA,NA,NA,NA,"Acalypha virginica","Zoochorous","Zoochorous",NA,NA,NA,NA,NA,NA,NA,"Annual",NA,NA,0.91,NA,NA,NA,0.000652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer","Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus",0.1448425,1.3744675,0.699885,0.22538,0.186935,0.0548375,0.141845,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus",5.325,5.9,6.275,6.6,0.05,6.1,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus","4","Anemochory",20.9889696712018,84.3743624180506,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus_Acer rubrum","Eurasiatique méridional_Européen_Introduit (amér. du nord)","Jaune_Vert","Anémochore","4-5_5","Corymbe_Racème de cymes unipares scorpioïdes","Anémogame","Acer campestre_Acer platanoides_Acer pseudoplatanus","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus_Acer rubrum","Green_Red_White",5685.23249714286,17.3853147063326,12.3713909090909,299,21.8073616825397,"4_4_5_6_8_5",83.2529971683366,14.5649098666218,NA,NA,NA,NA,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus_Acer rubrum","Anemochorous","Anemochorous",NA,0.4,0.4,NA,NA,"Panicle",61.0014733333333,"Perennial","C3",29,19.7467666666667,"Biotic","Insect",NA,0.0753584790866666,189.93,NA,NA,NA,NA,"Acer campestre_Acer platanoides_Acer pseudoplatanus",23.2444444444444,52.5166666666667,"Acer campestre_Acer negundo_Acer platanoides_Acer pseudoplatanus",11.5,NA,"""acer campestre l.""_""acer negundo l.""_""acer platanoides l.""_""acer pseudoplatanus l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer campestre","Acer campestre",0.03984,1.31841,0.6918,0.13881,0.19643,0.01173,0.10363,"Acer campestre",5.7,NA,5.4,7.3,0,NA,"Acer campestre","4","Anemochory",15.0944897959184,73.6094274509803,"Acer campestre","Eurasiatique méridional","Vert","Anémochore","5","Corymbe","Anémogame","Acer campestre","Yellow","Flowers with open nectar","Disk flowers with nectar open",4.749945155,4.111335636,6.429627888,5.17775549,"Present","Plenty","Actinomorphe",11.5,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer campestre",NA,4741.5,12.8478128282563,15.362,360.5,19.4,"5",110.945321529412,13.1394736842105,NA,NA,NA,NA,"Acer campestre","Anemochorous","Anemochorous",NA,0.3,NA,NA,NA,NA,47.415,"Perennial","C3",25,13.658,NA,NA,NA,0.0887823385,145.37,NA,NA,NA,NA,"Acer campestre",15.7333333333333,74.4333333333333,"Acer campestre",11.5,NA,"""acer campestre l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Acer negundo","Acer negundo",0.42278,1.52809,0.72226,0.44267,0.18109,0.17333,0.23847,"Acer negundo",6.2,6.2,6.8,6.8,0.2,6.4,"Acer negundo","4","Anemochory",14.7066666666667,35.3438888888889,"Acer negundo","Introduit (amér. du nord)","Jaune","Anémochore",NA,"Racème de cymes unipares scorpioïdes","Anémogame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acer negundo","White",2658.96,23.5535395946667,9.982,NA,21.9533333333333,"4_5_6_8",32.4766038571429,13.035474885902,NA,NA,NA,NA,"Acer negundo","Anemochorous","Anemochorous",NA,NA,NA,NA,NA,NA,NA,"Perennial","C3",25,17.3725,"Biotic","Insect",NA,0.0357037375,251,NA,NA,NA,NA,NA,NA,NA,"Acer negundo",NA,NA,"""acer negundo l.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
